kassiesa_team,country,coefficient,wikidata_id,wikidata_team,uefa_id
Bayern München,Ger,147.5,,,
Real Madrid,Esp,144.5,,,
Paris Saint-Germain,Fra,132.0,,,
Liverpool,Eng,130.0,,,
Internazionale,Ita,127.0,,,
Manchester City,Eng,125.5,,,
Arsenal,Eng,119.0,,,
FC Barcelona,Esp,113.25,,,
Bayer Leverkusen,Ger,105.0,,,
Atlético Madrid,Esp,104.75,,,
Borussia Dortmund,Ger,100.75,,,
Chelsea,Eng,99.25,,,
AS Roma,Ita,97.75,,,
Benfica,Por,90.0,,,
Sporting CP Lisbon,Por,84.0,,,
Atalanta,Ita,84.0,,,
Aston Villa,Eng,83.0,,,
Eintracht Frankfurt,Ger,83.0,,,
Tottenham Hotspur,Eng,82.0,,,
FC Porto,Por,80.75,,,
Manchester United,Eng,76.5,,,
Fiorentina,Ita,76.25,,,
Club Brugge,Bel,75.25,,,
Real Betis,Esp,74.5,,,
Juventus,Ita,72.25,,,
PSV Eindhoven,Ned,71.25,,,
Feyenoord,Ned,71.0,,,
West Ham United,Eng,69.0,,,
Lille OSC,Fra,68.75,,,
AC Milan,Ita,66.0,,,
Olympique Lyon,Fra,65.75,,,
Bodø/Glimt,Nor,64.0,,,
Sporting Braga,Por,63.75,,,
Napoli,Ita,63.0,,,
AZ Alkmaar,Ned,62.875,,,
Olympiakos Piraeus,Gre,62.25,,,
RB Leipzig,Ger,61.0,,,
Glasgow Rangers,Sco,59.25,,,
Villarreal,Esp,59.0,,,
Lazio,Ita,59.0,,,
Ajax,Ned,58.25,,,
Fenerbahçe,Tur,57.75,,,
Real Sociedad,Esp,57.0,,,
SC Freiburg,Ger,56.5,,,
Shakhtar Donetsk,Ukr,56.25,,,
AS Monaco,Fra,56.0,,,
FC København,Den,54.375,,,
Olympique Marseille,Fra,54.0,,,
Galatasaray,Tur,53.5,,,
Ferencváros,Hun,51.25,,,
Viktoria Plzen,Cze,50.5,,,
FC Midtjylland,Den,48.25,,,
PAOK Thessaloniki,Gre,48.25,,,
Union Saint-Gilloise,Bel,48.0,,,
Red Star Belgrade,Srb,46.5,,,
Dinamo Zagreb,Cro,46.5,,,
FC Salzburg,Aut,45.0,,,
Celtic,Sco,44.0,,,
Slavia Praha,Cze,44.0,,,
Qarabag FK,Azb,42.75,,,
AA Gent,Bel,39.0,,,
Sevilla,Esp,39.0,,,
Athletic Bilbao,Esp,38.75,,,
Sparta Praha,Cze,38.25,,,
Slovan Bratislava,Svk,36.0,,,
Stade Rennais,Fra,35.0,,,
FC Basel,Sui,34.5,,,
Legia Warsaw,Pol,32.5,,,
Maccabi Tel-Aviv,Isr,32.5,,,
Djurgårdens IF,Swe,32.0,,,
Bologna,Ita,30.75,,,
Anderlecht,Bel,30.75,,,
Newcastle United,Eng,29.75,,,
Rapid Wien,Aut,29.75,,,
Young Boys,Sui,29.5,,,
Panathinaikos,Gre,29.25,,,
Racing Genk,Bel,29.0,,,
Ludogorets Razgrad,Bul,28.75,,,
Sturm Graz,Aut,28.0,,,
VfB Stuttgart,Ger,27.5,,,
Lech Poznan,Pol,27.25,,,
FCSB,Rom,25.5,,,
Pafos FC,Cyp,24.125,,,
AEK Athens,Gre,24.0,,,
