uefa_team,country,stage,uefa_url,kassiesa_team,coefficient,similarity,second_similarity,gap,status
Arsenal,ENG,Phase de ligue,/uefachampionsleague/clubs/52280--arsenal/,Arsenal,119.0,100.0,70.0,30.0,auto
Aston Villa,ENG,Phase de ligue,/uefachampionsleague/clubs/52683--aston-villa/,Aston Villa,83.0,100.0,66.66666666666667,33.33333333333333,auto
Atleti,ESP,Phase de ligue,/uefachampionsleague/clubs/50124--atleti/,Real Betis,74.5,62.5,57.14285714285714,5.357142857142861,manual
B. Dortmund,GER,Phase de ligue,/uefachampionsleague/clubs/52758--b-dortmund/,Borussia Dortmund,100.75,74.07407407407408,47.61904761904761,26.455026455026463,auto_gap
Barcelona,ESP,Phase de ligue,/uefachampionsleague/clubs/50080--barcelona/,FC Barcelona,113.25,100.0,62.5,37.5,auto
Bayern München,GER,Phase de ligue,/uefachampionsleague/clubs/50037--bayern-munchen/,Bayern München,147.5,100.0,60.0,40.0,auto
Club Brugge,BEL,Phase de ligue,/uefachampionsleague/clubs/50043--club-brugge/,Club Brugge,75.25,100.0,63.1578947368421,36.8421052631579,auto
Como,ITA,Phase de ligue,/uefachampionsleague/clubs/79946--como/,Cosmos,1.0,80.0,44.44444444444444,35.55555555555556,auto_gap
Feyenoord,NED,Phase de ligue,/uefachampionsleague/clubs/52749--feyenoord/,Feyenoord,71.0,100.0,50.0,50.0,auto
Galatasaray,TUR,Phase de ligue,/uefachampionsleague/clubs/50067--galatasaray/,Galatasaray,53.5,100.0,54.54545454545454,45.45454545454546,auto
Inter,ITA,Phase de ligue,/uefachampionsleague/clubs/50138--inter/,Inter Turku,2.0,62.5,54.54545454545454,7.95454545454546,manual
Leipzig,GER,Phase de ligue,/uefachampionsleague/clubs/2603790--leipzig/,RB Leipzig,61.0,82.35294117647058,50.0,32.35294117647058,auto_gap
Lens,FRA,Phase de ligue,/uefachampionsleague/clubs/52277--lens/,RC Lens,12.5,72.72727272727273,60.0,12.727272727272734,manual
Lille,FRA,Phase de ligue,/uefachampionsleague/clubs/75797--lille/,Lille OSC,68.75,71.42857142857143,58.82352941176471,12.60504201680672,manual
Liverpool,ENG,Phase de ligue,/uefachampionsleague/clubs/7889--liverpool/,Liverpool,130.0,100.0,47.61904761904761,52.38095238095239,auto
Man City,ENG,Phase de ligue,/uefachampionsleague/clubs/52919--man-city/,Manchester City,125.5,69.56521739130434,66.66666666666667,2.8985507246376727,manual
Man Utd,ENG,Phase de ligue,/uefachampionsleague/clubs/52682--man-utd/,Manchester United,76.5,58.33333333333333,52.63157894736843,5.701754385964897,manual
Napoli,ITA,Phase de ligue,/uefachampionsleague/clubs/50136--napoli/,Napoli,63.0,100.0,53.333333333333336,46.666666666666664,auto
Paris,FRA,Phase de ligue,/uefachampionsleague/clubs/52747--paris/,Pafos FC,24.125,60.0,60.0,0.0,manual
Porto,POR,Phase de ligue,/uefachampionsleague/clubs/50064--porto/,FC Porto,80.75,100.0,46.15384615384615,53.84615384615385,auto
PSV,NED,Phase de ligue,/uefachampionsleague/clubs/50062--psv/,Pafos FC,24.125,50.0,50.0,0.0,manual
Real Betis,ESP,Phase de ligue,/uefachampionsleague/clubs/52265--real-betis/,Real Betis,74.5,100.0,60.86956521739131,39.13043478260869,auto
Real Madrid,ESP,Phase de ligue,/uefachampionsleague/clubs/50051--real-madrid/,Real Madrid,144.5,100.0,69.23076923076923,30.769230769230774,auto
