rank,club,season_2021_2022,season_2022_2023,season_2023_2024,season_2024_2025,season_2025_2026,points,na,club_id,uefa_url
1,Bayern München Germany,26.000,27.000,28.000,27.250,39.250,147.500,18.580,50037,https://www.uefa.com/uefachampionsleague/clubs/50037/
2,Real Madrid Spain,30.000,29.000,34.000,24.500,27.000,144.500,19.409,50051,https://www.uefa.com/uefachampionsleague/clubs/50051/
3,Paris France,19.000,19.000,23.000,33.500,37.500,132.000,16.699,52747,https://www.uefa.com/uefachampionsleague/clubs/52747/
4,Liverpool England,33.000,19.000,20.000,29.500,28.500,130.000,23.903,7889,https://www.uefa.com/uefachampionsleague/clubs/7889/
5,Inter Italy,18.000,29.000,20.000,40.250,19.750,127.000,19.989,50138,https://www.uefa.com/uefachampionsleague/clubs/50138/
6,Man City England,27.000,33.000,28.000,14.750,22.750,125.500,23.903,52919,https://www.uefa.com/uefachampionsleague/clubs/52919/
7,Arsenal England,-,17.000,22.000,36.000,44.000,119.000,23.903,52280,https://www.uefa.com/uefachampionsleague/clubs/52280/
8,Barcelona Spain,15.000,9.000,23.000,36.250,30.000,113.250,19.409,50080,https://www.uefa.com/uefachampionsleague/clubs/50080/
9,Leverkusen Germany,14.000,19.000,29.000,23.250,19.750,105.000,18.580,50109,https://www.uefa.com/uefachampionsleague/clubs/50109/
10,Atleti Spain,19.000,8.000,24.000,26.500,27.250,104.750,19.409,50124,https://www.uefa.com/uefachampionsleague/clubs/50124/
