rank,club,country,club_id,uefa_url
1,Bayern München,Germany,50037,https://www.uefa.com/uefachampionsleague/clubs/50037--bayern-münchen/
2,Real Madrid,Spain,50051,https://www.uefa.com/uefachampionsleague/clubs/50051--real-madrid/
3,Paris,France,52747,https://www.uefa.com/uefachampionsleague/clubs/52747--paris/
4,Liverpool,England,7889,https://www.uefa.com/uefachampionsleague/clubs/7889--liverpool/
5,Inter,Italy,50138,https://www.uefa.com/uefachampionsleague/clubs/50138--inter/
6,Man City,England,52919,https://www.uefa.com/uefachampionsleague/clubs/52919--man-city/
7,Arsenal,England,52280,https://www.uefa.com/uefachampionsleague/clubs/52280--arsenal/
8,Barcelona,Spain,50080,https://www.uefa.com/uefachampionsleague/clubs/50080--barcelona/
9,Leverkusen,Germany,50109,https://www.uefa.com/uefachampionsleague/clubs/50109--leverkusen/
10,Atleti,Spain,50124,https://www.uefa.com/uefachampionsleague/clubs/50124--atleti/
