team,country_ucl,stage,uefa_url,club_id,club,official_name,country_uefa,country_code,team_code,uefa_logo,rank,points,national_association_points,season_2026,season_2025,season_2024,season_2023,season_2022
Arsenal,ENG,Phase de ligue,/uefachampionsleague/clubs/52280--arsenal/,52280,Arsenal,Arsenal FC,Angleterre,ENG,ARS,https://img.uefa.com/imgml/TP/teams/logos/70x70/52280.png,7.0,119.0,23.903,44.0,36.0,22.0,17.0,
Aston Villa,ENG,Phase de ligue,/uefachampionsleague/clubs/52683--aston-villa/,52683,Aston Villa,Aston Villa,Angleterre,ENG,AVL,https://img.uefa.com/imgml/TP/teams/logos/70x70/52683.png,17.0,83.0,23.903,35.75,30.25,17.0,,
Atleti,ESP,Phase de ligue,/uefachampionsleague/clubs/50124--atleti/,50124,Atleti,Atlético de Madrid,Espagne,ESP,ATM,https://img.uefa.com/imgml/TP/teams/logos/70x70/50124.png,10.0,104.75,19.409,27.25,26.5,24.0,8.0,19.0
B. Dortmund,GER,Phase de ligue,/uefachampionsleague/clubs/52758--b-dortmund/,52758,B. Dortmund,Borussia Dortmund,Allemagne,GER,BVB,https://img.uefa.com/imgml/TP/teams/logos/70x70/52758.png,11.0,100.75,18.58,16.0,27.75,29.0,18.0,10.0
Barcelona,ESP,Phase de ligue,/uefachampionsleague/clubs/50080--barcelona/,50080,Barcelona,FC Barcelona,Espagne,ESP,BAR,https://img.uefa.com/imgml/TP/teams/logos/70x70/50080.png,8.0,113.25,19.409,30.0,36.25,23.0,9.0,15.0
Bayern München,GER,Phase de ligue,/uefachampionsleague/clubs/50037--bayern-munchen/,50037,Bayern München,FC Bayern München,Allemagne,GER,BAY,https://img.uefa.com/imgml/TP/teams/logos/70x70/50037.png,1.0,147.5,18.58,39.25,27.25,28.0,27.0,26.0
Club Brugge,BEL,Phase de ligue,/uefachampionsleague/clubs/50043--club-brugge/,50043,Club Brugge,Club Brugge KV,Belgique,BEL,BRU,https://img.uefa.com/imgml/TP/teams/logos/70x70/50043.png,23.0,75.25,12.45,14.5,15.75,21.0,17.0,7.0
Como,ITA,Phase de ligue,/uefachampionsleague/clubs/79946--como/,79946,,,,,,,,,,,,,,
Feyenoord,NED,Phase de ligue,/uefachampionsleague/clubs/52749--feyenoord/,52749,Feyenoord,Feyenoord,Pays-Bas,NED,FEY,https://img.uefa.com/imgml/TP/teams/logos/70x70/52749.png,27.0,71.0,13.585,4.0,18.0,8.0,17.0,24.0
Galatasaray,TUR,Phase de ligue,/uefachampionsleague/clubs/50067--galatasaray/,50067,Galatasaray,Galatasaray A.Ş.,Turquie,TUR,GAL,https://img.uefa.com/imgml/TP/teams/logos/70x70/50067.png,49.0,53.5,10.375,17.75,12.75,8.0,,15.0
Inter,ITA,Phase de ligue,/uefachampionsleague/clubs/50138--inter/,50138,Inter,FC Internazionale Milano,Italie,ITA,INT,https://img.uefa.com/imgml/TP/teams/logos/70x70/50138.png,5.0,127.0,19.989,19.75,40.25,20.0,29.0,18.0
Leipzig,GER,Phase de ligue,/uefachampionsleague/clubs/2603790--leipzig/,2603790,Leipzig,RB Leipzig,Allemagne,GER,RBL,https://img.uefa.com/imgml/TP/teams/logos/70x70/2603790.png,37.0,61.0,18.58,,8.0,18.0,18.0,17.0
Lens,FRA,Phase de ligue,/uefachampionsleague/clubs/52277--lens/,52277,Lens,RC Lens,France,FRA,LEN,https://img.uefa.com/imgml/TP/teams/logos/70x70/52277.png,120.0,12.5,16.699,,2.5,10.0,,
Lille,FRA,Phase de ligue,/uefachampionsleague/clubs/75797--lille/,75797,Lille,LOSC Lille,France,FRA,LIL,https://img.uefa.com/imgml/TP/teams/logos/70x70/75797.png,29.0,68.75,16.699,10.75,24.0,17.0,,17.0
Liverpool,ENG,Phase de ligue,/uefachampionsleague/clubs/7889--liverpool/,7889,Liverpool,Liverpool FC,Angleterre,ENG,LIV,https://img.uefa.com/imgml/TP/teams/logos/70x70/7889.png,4.0,130.0,23.903,28.5,29.5,20.0,19.0,33.0
Man City,ENG,Phase de ligue,/uefachampionsleague/clubs/52919--man-city/,52919,Man City,Manchester City,Angleterre,ENG,MCI,https://img.uefa.com/imgml/TP/teams/logos/70x70/52919.png,6.0,125.5,23.903,22.75,14.75,28.0,33.0,27.0
Man Utd,ENG,Phase de ligue,/uefachampionsleague/clubs/52682--man-utd/,52682,Man Utd,Manchester United,Angleterre,ENG,MUN,https://img.uefa.com/imgml/TP/teams/logos/70x70/52682.png,21.0,76.5,23.903,,32.5,7.0,19.0,18.0
Napoli,ITA,Phase de ligue,/uefachampionsleague/clubs/50136--napoli/,50136,Napoli,SSC Napoli,Italie,ITA,NAP,https://img.uefa.com/imgml/TP/teams/logos/70x70/50136.png,34.0,63.0,19.989,12.0,,17.0,25.0,9.0
Paris,FRA,Phase de ligue,/uefachampionsleague/clubs/52747--paris/,52747,Paris,Paris Saint-Germain,France,FRA,PSG,https://img.uefa.com/imgml/TP/teams/logos/70x70/52747.png,3.0,132.0,16.699,37.5,33.5,23.0,19.0,19.0
Porto,POR,Phase de ligue,/uefachampionsleague/clubs/50064--porto/,50064,Porto,FC Porto,Portugal,POR,POR,https://img.uefa.com/imgml/TP/teams/logos/70x70/50064.png,20.0,80.75,14.633,24.0,9.75,19.0,18.0,10.0
PSV,NED,Phase de ligue,/uefachampionsleague/clubs/50062--psv/,50062,PSV,PSV Eindhoven,Pays-Bas,NED,PSV,https://img.uefa.com/imgml/TP/teams/logos/70x70/50062.png,26.0,71.25,13.585,12.0,21.25,17.0,11.0,10.0
Real Betis,ESP,Phase de ligue,/uefachampionsleague/clubs/52265--real-betis/,52265,Real Betis,Real Betis Balompié,Espagne,ESP,BET,https://img.uefa.com/imgml/TP/teams/logos/70x70/52265.png,24.0,74.5,19.409,22.25,19.25,6.0,16.0,11.0
Real Madrid,ESP,Phase de ligue,/uefachampionsleague/clubs/50051--real-madrid/,50051,Real Madrid,Real Madrid C.F.,Espagne,ESP,RMA,https://img.uefa.com/imgml/TP/teams/logos/70x70/50051.png,2.0,144.5,19.409,27.0,24.5,34.0,29.0,30.0
Roma,ITA,Phase de ligue,/uefachampionsleague/clubs/50137--roma/,50137,Roma,AS Roma,Italie,ITA,ROM,https://img.uefa.com/imgml/TP/teams/logos/70x70/50137.png,13.0,97.75,19.989,17.25,14.5,21.0,22.0,23.0
Shakhtar,UKR,Phase de ligue,/uefachampionsleague/clubs/52707--shakhtar/,52707,Shakhtar,FC Shakhtar Donetsk,Ukraine,UKR,SHK,https://img.uefa.com/imgml/TP/teams/logos/70x70/52707.png,45.0,56.25,5.182,18.25,11.0,10.0,11.0,6.0
Slavia Praha,CZE,Phase de ligue,/uefachampionsleague/clubs/52498--slavia-praha/,52498,Slavia Praha,SK Slavia Praha,Tchéquie,CZE,SLA,https://img.uefa.com/imgml/TP/teams/logos/70x70/52498.png,59.0,44.0,9.705,9.0,4.0,15.0,6.0,10.0
Sporting CP,POR,Phase de ligue,/uefachampionsleague/clubs/50149--sporting-cp/,50149,Sporting CP,Sporting Clube de Portugal,Portugal,POR,SPO,https://img.uefa.com/imgml/TP/teams/logos/70x70/50149.png,15.0,84.0,14.633,27.5,14.5,12.0,14.0,16.0
Stuttgart,GER,Phase de ligue,/uefachampionsleague/clubs/50107--stuttgart/,50107,Stuttgart,VfB Stuttgart,Allemagne,GER,STU,https://img.uefa.com/imgml/TP/teams/logos/70x70/50107.png,80.0,27.5,18.58,14.5,13.0,,,
Villarreal,ESP,Phase de ligue,/uefachampionsleague/clubs/70691--villarreal/,70691,Villarreal,Villarreal CF,Espagne,ESP,VIL,https://img.uefa.com/imgml/TP/teams/logos/70x70/70691.png,39.0,59.0,19.409,7.0,,16.0,12.0,24.0
AEK Athens,GRE,Barrages,/uefachampionsleague/clubs/50129--aek-athens/,50129,AEK Athens,AEK Athens FC,Grèce,GRE,AEK,https://img.uefa.com/imgml/TP/teams/logos/70x70/50129.png,84.0,24.0,9.682,17.5,2.0,3.0,,1.5
Bodø/Glimt,NOR,Barrages,/uefachampionsleague/clubs/59333--bodo-glimt/,59333,Bodø/Glimt,FK Bodø/Glimt,Norvège,NOR,BOD,https://img.uefa.com/imgml/TP/teams/logos/70x70/59333.png,32.0,64.0,8.247,17.0,21.0,8.0,3.0,15.0
Celje,SVN,Barrages,/uefachampionsleague/clubs/59030--celje/,59030,Celje,NK Celje,Slovénie,SVN,CLJ,https://img.uefa.com/imgml/TP/teams/logos/70x70/59030.png,89.0,23.0,4.893,11.0,9.5,2.5,,
Celtic,SCO,Barrages,/uefachampionsleague/clubs/50050--celtic/,50050,Celtic,Celtic FC,Écosse,SCO,CEL,https://img.uefa.com/imgml/TP/teams/logos/70x70/50050.png,58.0,44.0,6.41,9.0,16.0,7.0,6.0,6.0
Fenerbahçe,TUR,Barrages,/uefachampionsleague/clubs/52692--fenerbahce/,52692,Fenerbahçe,Fenerbahçe SK,Turquie,TUR,FEN,https://img.uefa.com/imgml/TP/teams/logos/70x70/52692.png,42.0,57.75,10.375,10.5,11.25,14.0,17.0,5.0
GNK Dinamo,CRO,Barrages,/uefachampionsleague/clubs/50164--gnk-dinamo/,50164,GNK Dinamo,GNK Dinamo,Croatie,CRO,DIN,https://img.uefa.com/imgml/TP/teams/logos/70x70/50164.png,56.0,46.5,5.631,7.5,14.0,9.0,7.0,9.0
H. Beer-Sheva,ISR,Barrages,/uefachampionsleague/clubs/59340--h-beer-sheva/,59340,H. Beer-Sheva,Hapoel Beer-Sheva FC,Israël,ISR,HBS,https://img.uefa.com/imgml/TP/teams/logos/70x70/59340.png,132.0,14.0,5.5,1.5,2.0,2.0,6.0,2.5
LASK,AUT,Barrages,/uefachampionsleague/clubs/63405--lask/,63405,LASK,LASK,Autriche,AUT,LASK,https://img.uefa.com/imgml/TP/teams/logos/70x70/63405.png,99.0,21.0,6.77,,3.0,3.0,,15.0
Levski Sofia,BUL,Barrages,/uefachampionsleague/clubs/50044--levski-sofia/,50044,Levski Sofia,PFC Levski Sofia,Bulgarie,BUL,LSO,https://img.uefa.com/imgml/TP/teams/logos/70x70/50044.png,222.0,7.0,4.212,2.5,,2.5,2.0,
Lyon,FRA,Barrages,/uefachampionsleague/clubs/5312--lyon/,5312,Lyon,Olympique Lyonnais,France,FRA,LYO,https://img.uefa.com/imgml/TP/teams/logos/70x70/5312.png,31.0,65.75,16.699,22.0,22.75,,,21.0
N.E.C.,NED,Barrages,/uefachampionsleague/clubs/52330--n-e-c/,52330,,,,,,,,,,,,,,
S. Bratislava,SVK,Barrages,/uefachampionsleague/clubs/52797--s-bratislava/,52797,S. Bratislava,ŠK Slovan Bratislava,Slovaquie,SVK,SLB,https://img.uefa.com/imgml/TP/teams/logos/70x70/52797.png,65.0,36.0,4.475,4.0,6.0,8.0,12.0,6.0
